#r psf_med 
0.05 0.905034
0.15 0.863388
0.25 0.769902
0.35 0.648766
0.45 0.503961
0.55 0.365941
0.65 0.276987
0.75 0.185564
0.85 0.123952
0.95 0.0829046
1.05 0.0336398
1.15 0.00665975
1.25 -5.39439e-06
1.35 -0.00601913
1.45 -0.00566175
1.55 -0.0113351
1.65 -0.0113615
1.75 -0.0123845
1.85 -0.014281
1.95 -0.0163315
2.05 -0.0180097
2.15 -0.0154706
2.25 -0.0150382
2.35 -0.0163546
2.45 -0.0128789
2.55 -0.0142205
2.65 -0.0122848
