#r med_cii(Jy/arcsec2) med_lo_1sig(Jy/arcsec2) med_up_1sig(Jy/arcsec2)
0.15 0.000297371456482 6.80166803575e-05 1.95845241553e-05
0.45 0.000224436823693 4.30771956849e-05 2.60507422543e-05
0.75 8.76872567289e-05 2.53392148151e-05 4.23714484712e-05
1.05 2.75838988488e-05 3.22239010177e-05 2.46868920266e-05
1.35 -2.72160609188e-06 2.88457953221e-05 2.08259340113e-05
1.65 -1.06409209527e-05 2.40407413882e-05 2.2988725586e-05
1.95 -2.3457980635e-05 2.3109228851e-05 2.09855236748e-05
2.25 -3.10973008313e-05 2.14666590325e-05 2.04444734355e-05
2.55 -3.52817551143e-05 1.32025081206e-05 1.71309415081e-05
