#r psf_med 
0.05 0.883271
0.15 0.8415
0.25 0.74798
0.35 0.625674
0.45 0.48026
0.55 0.344856
0.65 0.263331
0.75 0.1602
0.85 0.087335
0.95 0.0575088
1.05 0.0170972
1.15 0.00012179
1.25 -0.00715931
1.35 -0.0151024
1.45 -0.0147157
1.55 -0.0160103
1.65 -0.0166735
1.75 -0.0158288
1.85 -0.0153652
1.95 -0.0133682
2.05 -0.0156938
2.15 -0.00987745
2.25 -0.0114977
2.35 -0.0124689
2.45 -0.00897959
2.55 -0.00738607
2.65 -0.0104037
