#r med_cii(Jy/arcsec2) med_lo_1sig(Jy/arcsec2) med_up_1sig(Jy/arcsec2)
0.15 0.00137211930396 2.95226937716e-05 4.32169766917e-05
0.45 0.00103620661172 2.21213500652e-05 3.23733553452e-05
0.75 0.000542676331004 1.99013220764e-05 3.0238814721e-05
1.05 0.000205092480821 1.19836651853e-05 2.4074794671e-05
1.35 8.20821285323e-05 9.80951562827e-06 2.5962428431e-05
1.65 2.85648587706e-05 1.93855958706e-05 2.79663591788e-05
1.95 1.64819662127e-05 1.38698134707e-05 2.2110151261e-05
2.25 1.51123983145e-05 9.60333999006e-06 1.46991715169e-05
2.55 6.05196156075e-06 9.27998231404e-06 6.09766055019e-06
