#r med_cii(Jy/arcsec2) med_lo_1sig(Jy/arcsec2) med_up_1sig(Jy/arcsec2)
0.15 0.00126349816647 8.73860071084e-05 0.000135403420953
0.45 0.000873766794109 3.73561640709e-05 0.000136145267431
0.75 0.000443711010408 9.14324090507e-05 0.000107582869503
1.05 5.58814953354e-05 8.92890677048e-05 8.21173760066e-05
1.35 -9.03753194987e-06 7.44791060336e-05 6.93469311957e-05
1.65 -1.81653799486e-05 6.03131543058e-05 7.21602717579e-05
1.95 2.20575506571e-05 4.06962914545e-05 5.25089175953e-05
2.25 8.87006381521e-06 6.4641766115e-05 3.09190303927e-05
2.55 2.04464970859e-05 6.89507639622e-05 3.96728361951e-05
