#r med_cii(Jy/arcsec2) med_lo_1sig(Jy/arcsec2) med_up_1sig(Jy/arcsec2)
0.15 0.0013652984963 0.000120419693682 0.000203550167615
0.45 0.00108573034643 8.08139244232e-05 0.000164795844176
0.75 0.000578063921599 7.41178138103e-05 0.000103401346236
1.05 0.000224234996178 6.78922109969e-05 4.25206366043e-05
1.35 4.46498931253e-05 0.000100952361688 4.09422431416e-05
1.65 9.2982695661e-06 3.28535613208e-05 4.89956565331e-05
1.95 -3.58926535218e-05 3.73300273124e-05 3.84936644668e-05
2.25 -4.76255072582e-05 1.98870918161e-05 4.33878764803e-05
2.55 -4.68171006288e-05 2.76350243164e-05 4.51723391608e-05
