#r med_cii(Jy/arcsec2) med_lo_1sig(Jy/arcsec2) med_up_1sig(Jy/arcsec2)
0.15 0.00118349234871 5.82562448413e-05 7.98824296906e-05
0.45 0.000886410135073 5.02292993323e-05 7.47506447885e-05
0.75 0.000487235118003 3.52923257216e-05 6.5204220989e-05
1.05 0.000220099694771 2.91832499156e-05 3.56804244774e-05
1.35 7.53681021013e-05 4.04979089708e-05 3.01459976163e-05
1.65 2.69486029683e-05 3.39392296705e-05 2.55392839619e-05
1.95 1.89099921035e-05 2.23983440021e-05 2.88281782571e-05
2.25 2.56630713581e-05 2.22000512963e-05 3.14064197348e-05
2.55 1.78746708006e-05 1.75671662494e-05 2.44455077881e-05
