#r psf_med 
0.05 0.835883
0.15 0.802366
0.25 0.734743
0.35 0.645541
0.45 0.520151
0.55 0.412644
0.65 0.317562
0.75 0.193864
0.85 0.142938
0.95 0.0796125
1.05 0.0234873
1.15 0.00436175
1.25 -0.00832285
1.35 -0.0194236
1.45 -0.0184435
1.55 -0.019168
1.65 -0.0181007
1.75 -0.018405
1.85 -0.0175308
1.95 -0.0168829
2.05 -0.0122814
2.15 -0.0147129
2.25 -0.0112954
2.35 -0.0109676
2.45 -0.00885985
2.55 -0.0103163
2.65 -0.0112294
