#r med_cii(Jy/arcsec2) med_lo_1sig(Jy/arcsec2) med_up_1sig(Jy/arcsec2)
0.15 0.00377263831599 0.000110008469028 0.000158022298678
0.45 0.00282847875105 7.81073831857e-05 0.000106607555171
0.75 0.00152537457189 5.25570327829e-05 5.83255190173e-05
1.05 0.000648783324822 4.71121010577e-05 4.05646428991e-05
1.35 0.000168759330896 5.21916351323e-05 5.17277736213e-05
1.65 6.01248026627e-05 6.35308416903e-05 3.05392875652e-05
1.95 7.56093471315e-05 4.57945243376e-05 4.31156333975e-05
2.25 8.0872086554e-05 3.57683041975e-05 4.85642802445e-05
2.55 3.8999266759e-05 2.36849017465e-05 4.34165419469e-05
