#r psf_med 
0.05 0.832558
0.15 0.793191
0.25 0.730411
0.35 0.626565
0.45 0.499738
0.55 0.391857
0.65 0.274803
0.75 0.195092
0.85 0.130768
0.95 0.0621187
1.05 0.0138831
1.15 0.0041243
1.25 -0.0125103
1.35 -0.0167537
1.45 -0.0172077
1.55 -0.0168747
1.65 -0.0183591
1.75 -0.0156048
1.85 -0.0154057
1.95 -0.00972136
2.05 -0.0111609
2.15 -0.00558754
2.25 -0.00406351
2.35 -0.0123567
2.45 -0.00444606
2.55 -0.00799942
2.65 -0.0104984
