#r psf_med 
0.05 0.814031
0.15 0.781064
0.25 0.734831
0.35 0.654513
0.45 0.547279
0.55 0.458418
0.65 0.309712
0.75 0.224951
0.85 0.16155
0.95 0.0784938
1.05 0.0333069
1.15 0.026612
1.25 -8.7982e-06
1.35 -0.0135233
1.45 -0.0134827
1.55 -0.0179696
1.65 -0.0190128
1.75 -0.0205812
1.85 -0.01803
1.95 -0.01474
2.05 -0.0130368
2.15 -0.0106802
2.25 -0.00618039
2.35 -0.00727767
2.45 -0.00366656
2.55 -0.00527564
2.65 -0.00683652
