#r med_cii(Jy/arcsec2) med_lo_1sig(Jy/arcsec2) med_up_1sig(Jy/arcsec2)
0.15 0.0014328622981 5.77980006068e-05 7.0867975278e-05
0.45 0.00105034727553 3.77424393465e-05 5.57672313287e-05
0.75 0.000533259427746 4.73856803812e-05 4.50035894282e-05
1.05 0.000212673453102 3.46196271839e-05 3.52424242372e-05
1.35 4.88617664688e-05 1.0673416917e-05 3.44039902862e-05
1.65 -1.25311643273e-05 2.05295989532e-05 2.06611302706e-05
1.95 -2.77688439869e-06 2.92918530421e-05 2.32489195343e-05
2.25 3.17967850939e-05 1.11271524246e-05 3.34198546136e-05
2.55 3.56135191993e-05 1.18662925162e-05 2.81825743856e-05
