#r psf_med 
0.05 0.832144
0.15 0.773336
0.25 0.682848
0.35 0.539264
0.45 0.430344
0.55 0.323115
0.65 0.245175
0.75 0.167237
0.85 0.107084
0.95 0.0699296
1.05 0.0344905
1.15 0.012941
1.25 -0.000784392
1.35 -0.00748329
1.45 -0.0117166
1.55 -0.0106053
1.65 -0.0101575
1.75 -0.0130344
1.85 -0.00901592
1.95 -0.00983768
2.05 -0.00956064
2.15 -0.00743187
2.25 -0.00821941
2.35 -0.012913
2.45 -0.0108726
2.55 -0.0108199
2.65 -0.0112921
