#r med_cii(Jy/arcsec2) med_lo_1sig(Jy/arcsec2) med_up_1sig(Jy/arcsec2)
0.15 0.000769233601977 4.87237826322e-05 6.49703686424e-05
0.45 0.000567648040427 4.82119869825e-05 7.26229098024e-05
0.75 0.000262087053754 3.54950568616e-05 6.76613521903e-05
1.05 0.000113950533302 3.55729607796e-05 3.91669394428e-05
1.35 2.63032124684e-05 2.86359244792e-05 4.04891724144e-05
1.65 -6.14451215784e-06 2.61690427028e-05 3.98199677821e-05
1.95 -2.28823038517e-05 2.85256978379e-05 2.34751698386e-05
2.25 -1.05674436187e-05 1.40635712222e-05 3.10228476264e-05
2.55 2.35455830586e-05 2.336559659e-05 3.13710944964e-05
