#r med_cii(Jy/arcsec2) med_lo_1sig(Jy/arcsec2) med_up_1sig(Jy/arcsec2)
0.15 0.00171240837475 8.07665975045e-05 0.000177564056085
0.45 0.00117133537455 5.65660497759e-05 0.000114327737298
0.75 0.000490492965482 6.2023735051e-05 7.84987101563e-05
1.05 0.000117315585965 6.61096772355e-05 6.47850828956e-05
1.35 -1.14502632793e-05 3.82166085071e-05 6.35078443092e-05
1.65 -3.44543580192e-05 3.63341519872e-05 6.35387775966e-05
1.95 -5.74581669331e-05 2.34221797043e-05 3.50450783914e-05
2.25 -7.07884800487e-05 2.35958219332e-05 2.92846172489e-05
2.55 -2.57216527792e-05 4.94177926828e-05 2.87617071538e-05
