#r psf_med 
0.05 0.90403
0.15 0.861789
0.25 0.774498
0.35 0.652842
0.45 0.508218
0.55 0.385705
0.65 0.29364
0.75 0.190208
0.85 0.112771
0.95 0.077642
1.05 0.0288207
1.15 -0.000698526
1.25 -0.00554853
1.35 -0.015115
1.45 -0.015115
1.55 -0.0182646
1.65 -0.020118
1.75 -0.020222
1.85 -0.0194251
1.95 -0.0182106
2.05 -0.0170397
2.15 -0.0140058
2.25 -0.0139258
2.35 -0.0151816
2.45 -0.0107354
2.55 -0.0104212
2.65 -0.0120224
