#r med_cii(Jy/arcsec2) med_lo_1sig(Jy/arcsec2) med_up_1sig(Jy/arcsec2)
0.15 0.0011212707869 8.35210050693e-05 0.000156161501898
0.45 0.000812793176245 6.33603995674e-05 8.28321982015e-05
0.75 0.000425708175302 4.86468270011e-05 7.71363354345e-05
1.05 0.00021717649356 6.10182855144e-05 5.68552366814e-05
1.35 0.000162211439521 1.97194039723e-05 5.27255526959e-05
1.65 3.73936879899e-05 3.64312997287e-05 2.98526259543e-05
1.95 -3.00785513408e-05 2.10609909279e-05 2.46748298824e-05
2.25 -3.0373391334e-05 3.22561595652e-05 4.58936368931e-05
2.55 -1.5250543133e-05 3.02728047596e-05 2.61922682404e-05
