#r med_cii(Jy/arcsec2) med_lo_1sig(Jy/arcsec2) med_up_1sig(Jy/arcsec2)
0.15 0.00196898188806 0.00015409602638 0.000148096425932
0.45 0.00150685358228 8.78099193615e-05 9.09382821205e-05
0.75 0.000764959300091 7.22100721397e-05 6.82007961583e-05
1.05 0.000330704607586 3.90381994282e-05 9.49826917609e-05
1.35 0.000112052045687 4.07893215122e-05 8.08852046926e-05
1.65 4.58425050141e-05 2.32545645225e-05 7.00635595393e-05
1.95 2.12520109798e-05 3.5590466341e-05 3.35018962062e-05
2.25 -9.44242372179e-06 2.61925936132e-05 4.34403196253e-05
2.55 -5.39916095855e-05 1.82911151756e-05 5.33119470848e-05
