#r med_cii(Jy/arcsec2) med_lo_1sig(Jy/arcsec2) med_up_1sig(Jy/arcsec2)
0.15 0.000884771608641 4.77698652844e-05 6.65606716075e-05
0.45 0.00057757719958 5.38982624676e-05 5.12185012593e-05
0.75 0.00027647789359 3.47411082421e-05 5.26863707995e-05
1.05 0.000117372782298 2.73845604758e-05 2.29029516519e-05
1.35 2.75708416134e-05 2.58274925331e-05 2.76118981738e-05
1.65 -3.72227449949e-05 1.20252425283e-05 3.12045303615e-05
1.95 -3.45001421315e-05 1.16600827553e-05 1.11902073474e-05
2.25 -2.45544849439e-06 2.25409124111e-05 1.94896654036e-05
2.55 -4.82114311374e-06 1.81353110031e-05 2.13873740877e-05
