#r med_cii(Jy/arcsec2) med_lo_1sig(Jy/arcsec2) med_up_1sig(Jy/arcsec2)
0.15 0.00101861264883 0.000123119496434 0.000282018338185
0.45 0.000672249558577 0.000119120630031 0.000159008546831
0.75 0.000151530082772 0.000132714058302 0.000102900687665
1.05 1.7777465315e-05 8.82711152741e-05 0.000148894868122
1.35 -3.09125890125e-05 6.94573747084e-05 8.24518638803e-05
1.65 -0.000120351202969 2.88222806075e-05 8.49232973336e-05
1.95 -7.14929631643e-05 4.9985745211e-05 7.135072535e-05
2.25 -4.94807092429e-05 6.42567742372e-05 7.85433179859e-05
2.55 -6.27779518914e-05 7.53199220974e-05 5.38386094566e-05
