#r psf_med 
0.05 0.842594
0.15 0.797437
0.25 0.728176
0.35 0.608595
0.45 0.477599
0.55 0.361394
0.65 0.247344
0.75 0.173343
0.85 0.117674
0.95 0.0622663
1.05 0.0186897
1.15 0.00832101
1.25 -0.0079804
1.35 -0.0141042
1.45 -0.0127676
1.55 -0.0136801
1.65 -0.0122332
1.75 -0.0124959
1.85 -0.0100345
1.95 -0.00444111
2.05 -0.00512859
2.15 0.00227946
2.25 -0.000373486
2.35 -0.00733061
2.45 -0.00473136
2.55 -0.00936096
2.65 -0.0128727
