#r med_cii(Jy/arcsec2) med_lo_1sig(Jy/arcsec2) med_up_1sig(Jy/arcsec2)
0.15 0.00235170538208 0.000150927193933 0.000172807687341
0.45 0.00177090611743 0.000160888006696 0.000139682339998
0.75 0.000817144295525 0.000138290440485 0.000104441296001
1.05 0.000308533969555 8.82819255709e-05 9.05951033027e-05
1.35 7.42540155972e-05 6.28134797516e-05 6.89525323898e-05
1.65 4.74958284907e-05 4.50491285896e-05 6.18789054974e-05
1.95 0.000101433675999 5.67258646034e-05 6.87301261072e-05
2.25 2.45494054469e-05 5.01082763228e-05 5.11495890403e-05
2.55 1.39713039759e-05 4.54628659741e-05 7.18498484796e-05
