#r med_cii(Jy/arcsec2) med_lo_1sig(Jy/arcsec2) med_up_1sig(Jy/arcsec2)
0.15 0.00149036515492 0.000192068461035 0.000268760527211
0.45 0.00106029993814 0.000174844742033 0.000122006096266
0.75 0.000525329618325 8.70429595942e-05 8.78236148355e-05
1.05 0.000227905445269 5.69616087103e-05 4.93329557574e-05
1.35 2.52163372392e-05 6.27540707168e-05 5.56955209544e-05
1.65 -8.89260192138e-05 6.53582347476e-05 5.56237267622e-05
1.95 -4.65212520588e-05 6.47300106852e-05 5.96786055813e-05
2.25 -4.97042792924e-05 4.16129107948e-05 8.3035759148e-05
2.55 4.61927958037e-06 2.51030199758e-05 5.96141455011e-05
