#r med_cii(Jy/arcsec2) med_lo_1sig(Jy/arcsec2) med_up_1sig(Jy/arcsec2)
0.15 0.000917081562974 8.29704266462e-05 0.000192451294397
0.45 0.000726117105238 7.44062788307e-05 0.000117371930592
0.75 0.000449299847685 9.89454150177e-05 8.50822899575e-05
1.05 0.000234994758984 5.09533826005e-05 9.84817564599e-05
1.35 4.80804341937e-05 6.16615261274e-05 9.08940753475e-05
1.65 -2.83667532713e-06 5.25449446639e-05 3.37467557504e-05
1.95 -1.38336622866e-05 3.61246644523e-05 5.17060043474e-05
2.25 -2.17807778664e-05 3.42811082166e-05 5.4849036287e-05
2.55 -1.47076716429e-05 3.59324865142e-05 5.77986409222e-05
