#r med_cii(Jy/arcsec2) med_lo_1sig(Jy/arcsec2) med_up_1sig(Jy/arcsec2)
0.15 0.00239081585122 9.60641544269e-05 0.000221902820336
0.45 0.00178647104928 6.63320292278e-05 0.000177350077276
0.75 0.000898334864181 7.38722686348e-05 0.00011656403719
1.05 0.000376116843869 5.65935262711e-05 0.00010425710312
1.35 0.000142664887155 4.45169490195e-05 7.06683492801e-05
1.65 6.13283567539e-05 5.87846064419e-05 2.52700065541e-05
1.95 -1.13388339558e-05 4.0657438981e-05 5.21629847166e-05
2.25 -3.59436141836e-05 2.34416046018e-05 5.75017206284e-05
2.55 -5.58727794562e-05 1.9716304516e-05 3.62848007441e-05
