#r psf_med 
0.05 0.906232
0.15 0.863953
0.25 0.767695
0.35 0.646522
0.45 0.500392
0.55 0.365938
0.65 0.27736
0.75 0.182833
0.85 0.11992
0.95 0.0821095
1.05 0.0313693
1.15 0.00559546
1.25 -0.000292589
1.35 -0.00568841
1.45 -0.0059666
1.55 -0.0115236
1.65 -0.0117738
1.75 -0.013648
1.85 -0.0142974
1.95 -0.0169105
2.05 -0.0179974
2.15 -0.0167171
2.25 -0.0150556
2.35 -0.0168395
2.45 -0.0138622
2.55 -0.0143042
2.65 -0.0123453
