#r psf_med 
0.05 0.927572
0.15 0.889617
0.25 0.819224
0.35 0.707489
0.45 0.569432
0.55 0.446042
0.65 0.348561
0.75 0.237409
0.85 0.16215
0.95 0.118663
1.05 0.060846
1.15 0.0225701
1.25 0.0150034
1.35 -0.00339464
1.45 -0.00768834
1.55 -0.0120477
1.65 -0.0139718
1.75 -0.0144913
1.85 -0.0157641
1.95 -0.0152167
2.05 -0.0167497
2.15 -0.0133079
2.25 -0.0128254
2.35 -0.0131076
2.45 -0.0110579
2.55 -0.012087
2.65 -0.0159648
