#r med_cii(Jy/arcsec2) med_lo_1sig(Jy/arcsec2) med_up_1sig(Jy/arcsec2)
0.15 0.00134782413191 0.000127841994824 0.000243856246524
0.45 0.00104624490211 9.33683930278e-05 7.91799230385e-05
0.75 0.000587469041854 6.79692036376e-05 7.14980119086e-05
1.05 0.000170624701465 6.05692383871e-05 5.23459379243e-05
1.35 -1.95199770357e-05 6.17050611839e-05 4.0893706676e-05
1.65 -4.71042498359e-05 5.16095486614e-05 7.62245182737e-05
1.95 -7.84483306209e-05 7.63567349337e-05 3.63986345497e-05
2.25 3.69138101273e-06 5.9931965754e-05 3.87623221433e-05
2.55 1.37635378793e-05 5.55208705418e-05 5.70361662126e-05
