#r med_cii(Jy/arcsec2) med_lo_1sig(Jy/arcsec2) med_up_1sig(Jy/arcsec2)
0.15 0.00346258574493 0.000139555292344 0.000156579580231
0.45 0.00245153978105 8.70984292638e-05 9.46381326293e-05
0.75 0.00129062182648 8.08885198554e-05 8.88651241813e-05
1.05 0.000480229206201 0.000122145389067 6.39491791429e-05
1.35 0.000178360969852 9.49158874726e-05 4.04599356265e-05
1.65 8.01549177245e-05 4.71002259795e-05 7.13264410838e-05
1.95 3.85418005208e-05 4.04730153953e-05 5.96059354253e-05
2.25 2.61582917885e-05 3.46615567779e-05 6.64401899824e-05
2.55 -3.43555241495e-05 5.04923748603e-05 5.08380629028e-05
