#r med_cii(Jy/arcsec2) med_lo_1sig(Jy/arcsec2) med_up_1sig(Jy/arcsec2)
0.15 0.00146324452773 0.000111382073391 0.00014272824034
0.45 0.000973299642433 6.40690638474e-05 7.14228614368e-05
0.75 0.000392917661549 3.21890279801e-05 9.87460354151e-05
1.05 0.000105194123355 5.12379530717e-05 6.67165318167e-05
1.35 3.97145297904e-05 4.23574749892e-05 5.05428086679e-05
1.65 3.04427957477e-05 4.23855670506e-05 4.50506652013e-05
1.95 -2.13757451698e-05 3.33111577712e-05 4.28923658194e-05
2.25 -4.09076057916e-05 3.33734822063e-05 4.10878243729e-05
2.55 -2.48315369226e-05 2.4539757808e-05 2.88913954455e-05
