#r med_cii(Jy/arcsec2) med_lo_1sig(Jy/arcsec2) med_up_1sig(Jy/arcsec2)
0.15 0.000578633822923 6.66080310867e-05 0.000111267528047
0.45 0.000418494582302 4.88165515361e-05 5.41996372737e-05
0.75 0.000226013250381 4.71884405742e-05 4.36408334551e-05
1.05 0.000112347016009 4.24881416502e-05 4.9710148969e-05
1.35 -1.7276107104e-05 4.26191841233e-05 3.23146581249e-05
1.65 -7.54517482883e-05 3.59698547759e-05 3.00940697233e-05
1.95 -7.20881150794e-05 2.28300295056e-05 2.3710110198e-05
2.25 -4.79837384346e-05 1.90892115821e-05 2.99716149449e-05
2.55 -1.46541767971e-05 2.7893834785e-05 2.84904445312e-05
