#r psf_med 
0.05 0.93016
0.15 0.891122
0.25 0.796184
0.35 0.696398
0.45 0.536354
0.55 0.400029
0.65 0.335825
0.75 0.230893
0.85 0.140627
0.95 0.101009
1.05 0.0392278
1.15 0.00762401
1.25 0.00408934
1.35 -0.0083786
1.45 -0.0143504
1.55 -0.0164111
1.65 -0.0198132
1.75 -0.021128
1.85 -0.0229906
1.95 -0.0215783
2.05 -0.0226655
2.15 -0.0205845
2.25 -0.0199636
2.35 -0.0216127
2.45 -0.0145613
2.55 -0.0150826
2.65 -0.0163793
