#r med_cii(Jy/arcsec2) med_lo_1sig(Jy/arcsec2) med_up_1sig(Jy/arcsec2)
0.15 0.00185529282957 0.000128053459086 0.000167517385428
0.45 0.00125144859917 0.000115899227173 0.000104365074451
0.75 0.000472383985753 6.09552723339e-05 7.24613453153e-05
1.05 0.00011126696588 6.58498902682e-05 4.72766908478e-05
1.35 5.14850041229e-05 3.52757533044e-05 5.3326212585e-05
1.65 4.72278967689e-05 3.73505546631e-05 3.99413812918e-05
1.95 1.58146318459e-05 3.48303170275e-05 3.52183906268e-05
2.25 -2.93957625884e-06 3.19706669713e-05 4.80836787046e-05
2.55 -2.98358253171e-05 1.65945092154e-05 3.6926351918e-05
